Site ID,Which folder?,Shared sites,Location description,Borough,Functional area for monitoring,Road type,Is it on the strategic CIO panel?,Easting (UK Grid),Northing (UK Grid),Latitude,Longitude
CENCY001,Strategic counts,CSHCY084,Millbank (south of Thorney Street),Westminster,Central,A Road,1,530251.49,178742.45,51.492628,-0.12520362
CENCY002,Strategic counts,0,Bishopsgate,City of London,Central,A Road,1,533362.68,181824.45,51.519599,-0.07925389
CENCY003,Strategic counts,CSHCY077,Southwark Bridge,Southwark,Central,A Road,1,532334.06,180520.37,51.508123,-0.094550618
CENCY004,Strategic counts,CSHCY075 & QWPCY047,Southwark Bridge Road,Southwark,Central,A Road,1,532052.5,179677.64,51.500613,-0.098926959
CENCY005,Strategic counts,CSHCY045,Tooley Street,Southwark,Central,A Road,1,533031.59,180213.46,51.5052,-0.084629047
CENCY006,Strategic counts,CSHCY076,Southwark Bridge Road (north - between Flat Iron Square and America Street),Southwark,Central,A Road,1,532263.5,180067.71,51.504068,-0.095742803
CENCY007,Strategic counts,0,Albert Embankment (south of Salamanca Street),Lambeth,Central,A Road,1,530467.76,178622.08,51.4915,-0.12213838
CENCY008,Strategic counts,0,Strand,Westminster,Central,A Road,1,530347.31,180653.54,51.509779,-0.12311615
CENCY009,Strategic counts,0,Charing Cross Road,Westminster,Central,A Road,1,529990.4,180677.24,51.510077,-0.12824866
CENCY010,Strategic counts,0,Lambeth Palace Road,Lambeth,Central,A Road,1,530804.02,179489.31,51.499213,-0.11696597
CENCY011,Strategic counts,0,Whitehall (south of Horse Guards Avenue),Westminster,Central,A Road,1,530147.22,180015.05,51.504092,-0.12623169
CENCY012,Strategic counts,0,Westminster Bridge,Lambeth,Central,A Road,1,530573.64,179657.29,51.500776,-0.12022982
CENCY013,Strategic counts,CSHCY113,Victoria Embankment (by Cleopatra's Needle),Westminster,Central,A Road,1,530526.13,180526.32,51.508597,-0.12058526
CENCY014,Strategic counts,CSHCY112,Victoria Embankment (between Derby Gate and Westminster Bridge),Westminster,Central,A Road,1,530326.96,179837.81,51.502451,-0.12371985
CENCY015,Strategic counts,0,Millbank (north of Great Peter Street),Westminster,Central,A Road,1,530201.66,179250.93,51.497205,-0.12573618
CENCY016,Strategic counts,0,Lambeth Bridge,Westminster,Central,A Road,1,530398.21,178956.9,51.494517,-0.1230084
CENCY017,Strategic counts,CGRCY050,Waterloo Bridge,Lambeth,Central,A Road,1,530788.45,180526.51,51.508536,-0.11681217
CENCY018,Strategic counts,0,Victoria Street,Westminster,Central,A Road,1,529919.79,179492.54,51.499444,-0.12970727
CENCY019,Strategic counts,CSHCY111,Bridge Street,Westminster,Central,A Road,1,530249.63,179666.46,51.500932,-0.12489167
CENCY020,Strategic counts,0,Pall Mall,Westminster,Central,A Road,1,529532.62,180244.98,51.506291,-0.13500354
CENCY021,Strategic counts,0,Buckingham Palace Road,Westminster,Central,A Road,1,528969.24,179397.26,51.498808,-0.14342044
CENCY022,Strategic counts,0,Northumberland Avenue,Westminster,Central,A Road,1,530165.28,180354.63,51.507134,-0.1258475
CENCY023,Strategic counts,0,Kennington Road (north),Lambeth,Central,A Road,1,531158.29,179306.78,51.497487,-0.11193701
CENCY024,Strategic counts,0,Lambeth Road,Lambeth,Central,A Road,1,530991.24,179111.59,51.495773,-0.11441372
CENCY025,Strategic counts,0,Kennington Road (south of Brook Drive),Lambeth,Central,A Road,1,531238.86,179007.35,51.494781,-0.1108963
CENCY026,Strategic counts,0,Westminster Bridge Road,Lambeth,Central,A Road,1,531035.36,179520.77,51.499438,-0.1136285
CENCY027,Strategic counts,0,Waterloo Road,Southwark,Central,A Road,1,531450.89,179614.73,51.500187,-0.10761829
CENCY028,Strategic counts,CSHCY121,Blackfriars Road (Southwark station),Southwark,Central,A Road,1,531651.06,180066.48,51.504202,-0.10455569
CENCY029,Strategic counts,CSHCY114,Temple,City of London,Central,A Road,1,531293.47,180816.83,51.511025,-0.10943178
CENCY030,Strategic counts,CSHCY122,Blackfriars Bridge,City of London,Central,A Road,1,531646.25,180576.49,51.508786,-0.10443749
CENCY031,Strategic counts,CSHCY046,London Bridge,City of London,Central,A Road,1,532836.82,180658.1,51.509245,-0.087269532
